ОТЧЕТ ОБ УДАЛЕНИИ ДУБЛИКАТОВ
==================================================

Исходный файл: TXT/porn_keywords.txt
Исходное количество строк: 62739
Количество удаленных строк: 8199
Итоговое количество строк: 54540
Процент удаленных: 13.07%

ДЕТАЛЬНЫЙ СПИСОК УДАЛЕННЫХ СТРОК:
--------------------------------------------------
140. 'xcxx' - содержится в 'porn xcxx'
141. 'xexy' - содержится в 'xexy video'
142. 'xgay' - содержится в 'xgay video'
143. 'xlxx' - содержится в 'xlxx mia khalifa'
144. 'xmxx' - содержится в 'xmxx com'
145. 'xnnx' - содержится в 'xnnx in'
146. 'xnss' - содержится в 'video xnss'
147. 'xnxn' - содержится в 'xnxn you'
148. 'xnxx' - содержится в 'xnxx a'
149. 'xsex' - содержится в 'xsex video'
150. 'xsxx' - содержится в 'xsxx sex'
151. 'yaoi' - содержится в 'porn yaoi'
152. 'анал' - содержится в '365 анал'
153. 'секс' - содержится в '3д секс'
154. 'член' - содержится в 'большой член'
155. '3some' - содержится в 'anal 3some'
156. '4tube' - содержится в 'm 4tube'
157. 'a xxx' - содержится в 'cream for me a xxx parody'
158. 'adult' - содержится в 'adult sex'
159. 'arsch' - содержится в 'arsch bilder nackt'
160. 'asses' - содержится в 'asses porn'
161. 'avluv' - содержится в 'avluv veronica'
162. 'baise' - содержится в 'baise fr'
163. 'balls' - содержится в 'balls xxx'
164. 'bitch' - содержится в 'bitch porn'
165. 'bokeb' - содержится в 'bokeb indo'
166. 'bokep' - содержится в 'bokep hd'
167. 'boner' - содержится в 'boner porn'
168. 'boobs' - содержится в 'boobs xv'
169. 'booty' - содержится в 'mz booty'
170. 'brazz' - содержится в 'my brazz'
171. 'bugil' - содержится в 'abg bugil'
172. 'busty' - содержится в 'busty sex'
173. 'cazzo' - содержится в 'cazzo duro'
174. 'clits' - содержится в 'big clits'
175. 'cocks' - содержится в 'black cocks'
176. 'coños' - содержится в 'porn coños'
177. 'cum4k' - содержится в 'cum4k com'
178. 'daddy' - содержится в 'daddy anal'
179. 'dildo' - содержится в 'bbc dildo'
180. 'dojki' - содержится в 'dojki com'
181. 'ebony' - содержится в 'ebony bj'
182. 'ecchi' - содержится в 'ecchi hentai'
183. 'efukt' - содержится в 'efukt xvideos'
184. 'entai' - содержится в 'naruto h entai'
185. 'eporn' - содержится в 'eporn com'
186. 'foxxx' - содержится в 'ana foxxx'
187. 'fucks' - содержится в 'ts fucks guy'
188. 'gilfs' - содержится в 'hot gilfs'
189. 'gjhyj' - содержится в 'gjhyj e'
190. 'gozar' - содержится в 'porn gozar'
191. 'grope' - содержится в 'boob grope'
192. 'hdsex' - содержится в 'hdsex sex'
193. 'hegre' - содержится в 'hegre art'
194. 'henta' - содержится в 'henta i'
195. 'henti' - содержится в 'henti bj'
196. 'hetai' - содержится в 'bbw hetai'
197. 'hntai' - содержится в 'bleach hntai'
198. 'holed' - содержится в 'holed com'
199. 'horny' - содержится в 'horny mom'
200. 'hporn' - содержится в 'hporn hub'
201. 'hucow' - содержится в 'hucow porn'
202. 'j mac' - содержится в 'j mac porn'
203. 'javhd' - содержится в 'javhd com'
204. 'juggs' - содержится в 'huge juggs'
205. 'kinky' - содержится в 'kinky sex'
206. 'labia' - содержится в 'big labia'
207. 'latex' - содержится в 'latex sex'
208. 'lesbo' - содержится в 'lesbo pirn'
209. 'lezbi' - содержится в 'lezbi masaj'
210. 'lil d' - содержится в 'lil d porn'
211. 'lubed' - содержится в 'lubed com'
212. 'lusty' - содержится в 'lusty grandmas'
213. 'milfs' - содержится в 'bad milfs'
214. 'milfy' - содержится в 'milfy com'
215. 'miltf' - содержится в 'miltf 1'
216. 'mofos' - содержится в 'mofos com'
217. 'naked' - содержится в 'naked gf'
218. 'negro' - содержится в 'pene negro'
219. 'nudes' - содержится в 'az nudes'
220. 'oldje' - содержится в 'oldje com'
221. 'oorno' - содержится в 'samba oorno'
222. 'oporn' - содержится в 'oporn hub'
223. 'orgie' - содержится в 'orgie porn'
224. 'p hub' - содержится в 'black p hub'
225. 'p orn' - содержится в '3d p orn'
226. 'p0rno' - содержится в 'p0rno hub'
227. 'pajas' - содержится в 'pajas porn'
228. 'panty' - содержится в 'panty sex'
229. 'pawgs' - содержится в 'pawgs porn'
230. 'penes' - содержится в 'porn penes'
231. 'penis' - содержится в 'big penis'
232. 'phorn' - содержится в 'phorn hub'
233. 'pirno' - содержится в '365 pirno'
234. 'pixxx' - содержится в 'pixxx com'
235. 'po rn' - содержится в '18 po rn'
236. 'poarn' - содержится в 'poarn hub'
237. 'poeno' - содержится в 'poeno hub'
238. 'poern' - содержится в 'poern hub'
239. 'poirn' - содержится в 'poirn hub'
240. 'polla' - содержится в 'foto polla'
241. 'ponro' - содержится в 'ponro hub'
242. 'poorn' - содержится в 'poorn hub'
243. 'por n' - содержится в 'por n o'
244. 'por o' - содержится в 'por o hub'
245. 'porbn' - содержится в 'porbn hub'
246. 'porbo' - содержится в 'porbo hub'
247. 'porhn' - содержится в 'porhn hub'
248. 'porhu' - содержится в 'pt porhu'
249. 'pormn' - содержится в 'pormn hub'
250. 'pormo' - содержится в 'gay pormo'
251. 'porn'' - содержится в 'porn'hub'
252. 'porn+' - содержится в 'porn+xxx+sex'
253. 'porna' - содержится в 'porna ana'
254. 'pornd' - содержится в 'md pornd'
255. 'porne' - содержится в '18 porne'
256. 'pornh' - содержится в 'pornh b'
257. 'porni' - содержится в 'porni q'
258. 'pornk' - содержится в 'pornk video'
259. 'pornl' - содержится в 'free black pornl'
260. 'pornm' - содержится в 'pornm hub'
261. 'pornn' - содержится в 'bbw pornn'
262. 'porno' - содержится в 'porno 3'
263. 'pornp' - содержится в 'pornp hub'
264. 'porns' - содержится в 'dp porns'
265. 'pornt' - содержится в 'pornt hub'
266. 'pornu' - содержится в 'pornu h'
267. 'pornv' - содержится в 'free pornv ideos'
268. 'pornx' - содержится в 'pornx video'
269. 'porny' - содержится в 'porny x'
270. 'pornó' - содержится в 'pornó sex'
271. 'pornô' - содержится в 'f pornô'
272. 'porrn' - содержится в 'porrn hub'
273. 'porun' - содержится в 'porun hub com'
274. 'porño' - содержится в 'gay porño'
275. 'potno' - содержится в 'potno hub'
276. 'potrn' - содержится в 'potrn hub'
277. 'pourn' - содержится в 'pourn hub'
278. 'pporn' - содержится в 'pporn o'
279. 'pprno' - содержится в 'gay pprno'
280. 'prorn' - содержится в 'free hd prorn'
281. 'pusse' - содержится в 'wet pusse'
282. 'pussi' - содержится в 'usa pussi'
283. 'pussy' - содержится в 'hd pussy'
284. 'putas' - содержится в 'muy putas'
285. 'puusy' - содержится в 'wet black puusy'
286. 'pôrno' - содержится в 'films pôrno'
287. 'qorno' - содержится в 'qorno porn'
288. 'queef' - содержится в 'queef porn'
289. 'randi' - содержится в 'randi bhabhi'
290. 'redtu' - содержится в 'redtu e'
291. 'rnhub' - содержится в 'o rnhub'
292. 'ruski' - содержится в 'porno ruski'
293. 'seexx' - содержится в 'porn seexx'
294. 'sex v' - содержится в 'hot sex v'
295. 'sex x' - содержится в 'sex x sex'
296. 'sex18' - содержится в 'sex18+'
297. 'sexex' - содержится в 'sexex vido'
298. 'sexme' - содержится в 'www sexme'
299. 'sexse' - содержится в 'sexse hd'
300. 'sexso' - содержится в 'sexso anal'
301. 'sexxc' - содержится в 'sexxc hd'
302. 'sexxx' - содержится в 'arap sexxx'
303. 'shiri' - содержится в 'shiri allwood'
304. 'shity' - содержится в 'shity porn'
305. 'skeet' - содержится в 'team skeet'
306. 'sluts' - содержится в 'dp sluts'
307. 'spank' - содержится в 'spank ang'
308. 'sperm' - содержится в 'sperm xxx'
309. 'stoya' - содержится в 'stoya porn'
310. 'sucks' - содержится в 'mom sucks cock'
311. 'taboo' - содержится в 'taboo orn'
312. 'teets' - содержится в 'small teets'
313. 'titty' - содержится в 'titty drop'
314. 'torbe' - содержится в 'torbe pilladas'
315. 'tporn' - содержится в 'tporn hub'
316. 'tube8' - содержится в 'tube8 com'
317. 'tubes' - содержится в 'sex tubes'
318. 'tushy' - содержится в 'tushy x'
319. 'twink' - содержится в 'twink sex'
320. 'whore' - содержится в 'whore porn'
321. 'x art' - содержится в 'x art hd'
322. 'x sex' - содержится в 'sex x sex'
323. 'x vid' - содержится в 'x vid eo'
324. 'xdesi' - содержится в 'xdesi video'
325. 'xfree' - содержится в 'xfree porn'
326. 'xnxxx' - содержится в 'xnxxx hd'
327. 'xporn' - содержится в 'xporn z'
328. 'xtube' - содержится в 'xtube com'
329. 'xujan' - содержится в 'xujan am'
330. 'xvide' - содержится в 'xvide 0s'
331. 'грудь' - содержится в 'большая грудь'
332. 'лесби' - содержится в 'brazzers лесби'
333. 'порно' - содержится в 'x порно'
334. '18 xxx' - содержится в '18 xxx com'
335. '3 some' - содержится в 'hot 3 some'
336. '34 xxx' - содержится в 'r 34 xxx'
337. '3d sex' - содержится в '3d sex games'
338. '3d xxx' - содержится в '3d xxx video'
339. '69 sex' - содержится в '69 sex gif'
340. '89 com' - содержится в 'www 89 com'
341. 'abella' - содержится в 'abella xxx'
342. 'anal x' - содержится в 'anal x video'
343. 'assjob' - содержится в 'assjob porn'
344. 'assxxx' - содержится в 'big big assxxx'
345. 'awlivv' - содержится в 'awlivv porn'
346. 'badwap' - содержится в 'badwap in'
347. 'bdsm x' - содержится в 'bdsm x video'
348. 'bf sex' - содержится в 'bf sex bf'
349. 'bikini' - содержится в 'bikini sex'
350. 'bitoni' - содержится в 'bitoni bride'
351. 'blojob' - содержится в 'first blojob'
352. 'booobs' - содержится в 'big booobs'
353. 'brazer' - содержится в 'brazer hd'
354. 'buceta' - содержится в 'buceta gif'
